"The Catalogue of Principal Galaxies (PGC) Number","Common name","Right ascension (J2000)","Declination (J2000)","Galactic longitude","Galactic latitude","Log intrinsic K luminosity at group distance","Heliocentric velocity","Velocity in Local Sheet reference frame (Tully et al. 2008)","Measured distance for individual galaxy","Percent error in measured distance","PGC identification of brightest member of group","PGC identification of brightest member of association","Number of group members","Unweighted average group heliocentric velocity","Unweighted average group velocity in Local Sheet frame","Log group mass by scaling relation from intrinsic luminosity and M/L prescription","Log group mass from virial theorem with bi-weight dispersion and radius parameters","Supergalactic X","Supergalactic Y","Supergalactic Z"
4079716,HIPASSJ0958-29,149.5567,-29.4139,263.4859,19.8921,9.31,2324,2028,0.00,0,28909,30308,3,2354,2058,12.405,10.000,-20.20,15.37,-26.15
4079724,HIPASSJ1816-67,273.9398,-67.0240,327.4113,-21.4657,9.90,3363,3187,0.00,0,4079724,165749,1,3363,3187,11.561,,-38.94,-16.21,5.14
4079729,6dFJ1327344-381137,201.8930,-38.1934,310.7031,24.1325,7.64,1341,1103,0.00,0,46896,46896,5,1438,1200,11.941,10.945,-13.16,6.07,-0.88
4079747,6dFJ1412210-303830,213.0872,-30.6417,322.8329,29.0843,8.20,2644,2455,0.00,0,50732,49676,2,2632,2442,12.279,9.017,-28.34,15.44,4.44
4079893,6dFJ1146465-280737,176.6938,-28.1270,285.9854,32.6080,8.25,2157,1890,0.00,0,37061,37061,25,1809,1542,13.316,13.173,-16.56,13.45,-8.68
4079998,6dFJ0142532-432355,25.7216,-43.3986,273.6540,-70.6867,8.38,1530,1432,0.00,0,4079998,4079998,1,1530,1432,10.694,,-4.57,-17.43,-6.32
4080019,6dFJ0252259-270013,43.1079,-27.0036,219.6841,-63.1301,8.53,1938,1862,0.00,0,4080019,4080019,1,1938,1862,10.772,,1.50,-20.79,-13.49
4080027,6dFJ0337022-361037,54.2592,-36.1767,237.9608,-53.9047,7.39,1675,1531,0.00,0,13418,13418,120,1502,1360,13.869,13.902,-1.98,-13.54,-12.17
4080042,6dFJ0439274-425912,69.8645,-42.9866,247.6536,-41.7157,9.13,3150,2944,0.00,0,4080042,4080042,1,3150,2944,11.072,,-10.16,-22.94,-30.19
4080059,6dFJ1214353-275717,183.6471,-27.9546,293.0857,34.2117,8.11,2222,1968,0.00,0,4080059,4080059,1,2222,1968,10.562,,-19.78,15.65,-7.25
4080065,6dFJ1447005-164601,221.7520,-16.7667,338.8363,37.9187,8.88,3405,3291,0.00,0,4080065,4080065,1,3405,3291,10.947,,-32.21,25.41,15.56
4080115,6dFJ0342278-260243,55.6158,-26.0452,221.3231,-51.9360,7.81,1713,1602,0.00,0,13434,13505,5,1691,1583,13.017,12.389,1.91,-21.04,-20.48
4080136,6dFJ1138589-380042,174.7455,-38.0115,287.5353,22.6844,8.92,2685,2396,0.00,0,36101,36101,9,2880,2590,13.127,13.228,-33.47,18.15,-17.30
