"The Catalogue of Principal Galaxies (PGC) Number","Common name","Right ascension (J2000)","Declination (J2000)","Galactic longitude","Galactic latitude","Log intrinsic K luminosity at group distance","Heliocentric velocity","Velocity in Local Sheet reference frame (Tully et al. 2008)","Measured distance for individual galaxy","Percent error in measured distance","PGC identification of brightest member of group","PGC identification of brightest member of association","Number of group members","Unweighted average group heliocentric velocity","Unweighted average group velocity in Local Sheet frame","Log group mass by scaling relation from intrinsic luminosity and M/L prescription","Log group mass from virial theorem with bi-weight dispersion and radius parameters","Supergalactic X","Supergalactic Y","Supergalactic Z"
3100,ESO411-027,13.2150,-27.3256,244.9896,-89.6273,8.72,1832,1838,0.00,0,3100,3089,1,1832,1838,10.865,,-0.05,-24.34,-2.85
3109,PGC003109,13.2200,1.2141,123.6909,-61.6556,8.59,1780,1919,0.00,0,3109,3109,1,1780,1919,10.799,,11.80,-22.70,0.38
3219,IC1596,13.6784,21.5226,123.9467,-41.3426,9.84,2674,2888,0.00,0,3219,3219,1,2674,2888,11.517,,28.12,-26.02,3.87
3238,NGC0300,13.7231,-37.6845,299.2078,-79.4187,8.73,144,99,1.99,6,3238,2789,1,144,99,10.868,,-0.35,-1.93,-0.33
3250,NGC0298,13.7598,-7.3332,125.5672,-70.1866,9.43,1768,1868,30.90,25,3250,3768,1,1768,1868,11.243,,10.25,-29.13,-1.07
3290,ESO411-031,13.9270,-30.5394,287.8556,-86.4629,9.35,1570,1559,0.00,0,3290,3290,1,1570,1559,11.196,,-1.12,-20.55,-2.91
3351,UGC00578,14.0882,39.8258,123.9572,-23.0361,9.39,1471,1729,0.00,0,3351,3351,1,1471,1729,11.223,,20.64,-9.51,3.90
3416,NGC0324,14.3118,-40.9592,298.3567,-76.1173,10.62,3397,3335,0.00,0,3416,3416,1,3397,3335,12.212,,-10.09,-42.52,-8.21
3421,ESO474-045,14.3379,-24.3720,149.0419,-86.9391,8.62,1863,1881,0.00,0,3421,3421,1,1863,1881,10.814,,1.31,-24.86,-3.03
3429,PGC003429,14.3698,-4.1595,126.7876,-66.9860,9.76,2717,2830,0.00,0,3429,3429,1,2717,2830,11.458,,14.50,-34.82,-1.13
3526,ESO541-004,14.7416,-18.7427,134.9897,-81.4377,10.05,1972,2016,28.97,14,3526,3526,1,1972,2016,11.679,,4.31,-28.49,-2.98
3528,UGC00608,14.7594,48.0189,124.2464,-14.8334,9.85,2755,3024,0.00,0,3635,3635,4,2670,2939,12.535,11.881,32.11,-9.51,6.48
3543,ESO541-005,14.8263,-20.5790,138.6985,-83.2087,8.51,1958,1993,40.74,25,3543,3543,1,1958,1993,10.760,,4.81,-40.20,-4.56
3554,ESO351-028,14.8727,-36.1866,292.7379,-80.7816,9.56,3486,3445,44.46,18,3554,3554,1,3486,3445,11.328,,-6.48,-43.29,-7.78
3559,UGC00614,14.9010,35.5603,124.8005,-27.2818,9.60,2343,2591,34.83,18,3559,3559,1,2343,2591,11.350,,30.21,-16.61,4.94
3572,NGC0337,14.9588,-7.5782,129.1303,-70.3488,10.33,1622,1718,19.23,14,3572,3572,1,1622,1718,11.918,,6.40,-18.10,-1.07
3589,Sculptor,15.0389,-33.7090,287.5359,-83.1567,6.82,105,76,0.09,6,5064336,2557,16,9,-36,12.146,12.935,-0.01,-0.09,-0.02
3603,UGC00622,15.1172,47.9952,124.4947,-14.8491,10.38,2714,2983,38.55,14,3635,3635,4,2670,2939,12.535,11.881,36.32,-10.74,7.17
3608,ESO113-004,15.1425,-57.7483,300.5429,-59.3375,10.22,3566,3427,0.00,0,3608,3608,1,3566,3427,11.815,,-22.31,-38.32,-11.03
3635,IC0065,15.2309,47.6820,124.5858,-15.1592,10.67,2614,2882,31.05,14,3635,3635,4,2670,2939,12.535,11.881,29.23,-8.80,5.70
3667,UGC00634,15.3547,7.6259,127.2641,-55.1618,9.35,2213,2373,26.06,14,3667,3667,1,2213,2373,11.196,,14.65,-21.55,0.24
3671,NGC0337A,15.3913,-7.5882,130.4002,-70.3129,8.77,1075,1170,0.00,0,3671,3671,1,1075,1170,10.892,,5.22,-14.67,-0.98
3710,ESO151-019,15.5856,-54.3258,299.4614,-62.7288,9.03,1371,1246,0.00,0,3710,3710,1,1371,1246,11.021,,-7.24,-14.42,-3.95
3711,PGC003711,15.5960,-4.5086,129.9958,-67.2301,8.73,1735,1843,0.00,0,3711,1058584,1,1735,1843,10.870,,9.43,-22.66,-1.28
3733,ESO013-009,15.6828,-80.2339,302.3334,-36.8811,9.55,1808,1587,0.00,0,3733,3733,1,1808,1587,11.320,,-16.35,-12.14,-5.76
3743,NGC0360,15.7143,-65.6100,301.0396,-51.4762,10.56,2297,2126,30.90,14,3743,3743,1,2297,2126,12.149,,-18.47,-23.43,-8.04
3757,PGC003757,15.7934,-3.6102,130.2377,-66.3153,9.79,2594,2705,0.00,0,3757,3757,1,2594,2705,11.479,,14.37,-33.03,-1.85
3768,NGC0357,15.8412,-6.3388,131.2334,-69.0181,10.92,2347,2446,0.00,0,3768,3768,2,2386,2484,12.576,11.568,11.29,-29.57,-2.05
3792,"LGS 3",15.9781,21.8897,126.7607,-40.8892,6.08,-286,-77,0.77,3,2557,2557,38,-273,-14,12.441,12.447,0.57,-0.51,0.05
3803,UGC00655,16.0060,41.8417,125.4418,-20.9686,8.61,828,1086,0.00,0,3803,3803,1,828,1086,10.808,,13.23,-5.46,2.21
3839,ESO113-009,16.2069,-57.3774,299.3593,-59.6578,9.14,3631,3492,0.00,0,3839,3608,1,3631,3492,11.079,,-22.37,-39.14,-11.65
3844,"IC 1613",16.1991,2.1177,129.7378,-60.5774,8.31,-232,-97,0.74,5,3844,2557,1,-232,-97,10.661,,0.36,-0.65,-0.02
3848,PGC003848,16.2581,-6.7355,132.5433,-69.3532,9.27,1711,1807,0.00,0,3848,3848,1,1711,1807,11.149,,8.46,-22.49,-1.77
3853,PGC003853,16.2704,-6.2124,132.3599,-68.8341,9.76,1123,1221,11.64,14,3853,3853,1,1123,1221,11.461,,4.19,-10.83,-0.83
3855,PGC003855,16.2858,-6.2793,132.4295,-68.8980,9.16,2425,2523,31.77,25,3768,3768,2,2386,2484,12.576,11.568,11.41,-29.62,-2.29
3905,UGC00672,16.5745,44.9542,125.6929,-17.8378,7.49,708,970,0.00,0,3905,3905,1,708,970,10.248,,12.06,-4.21,2.04
3926,PGC003926,16.6351,-23.6788,168.4328,-85.1498,9.35,3471,3487,0.00,0,3926,3926,1,3471,3487,11.196,,3.36,-45.82,-7.12
3974,UGC00685,16.8435,16.6840,128.4314,-46.0175,8.00,156,345,4.70,7,3974,3974,1,156,345,10.504,,3.22,-3.42,0.13
3980,NGC0406,16.8527,-69.8774,300.9117,-47.1880,9.73,1508,1320,21.78,14,3980,3980,1,1508,1320,11.441,,-14.20,-15.42,-5.93
4013,UGC00695,16.9435,1.0636,131.5244,-61.5353,8.21,627,756,0.00,0,4013,4013,1,627,756,10.613,,4.78,-8.86,-0.49
4055,PGC004055,17.0918,-38.2091,286.2224,-78.3643,7.54,645,590,0.00,0,4055,4055,1,645,590,10.276,,-1.36,-7.57,-1.66
4063,UGC00711,17.1537,1.6417,131.7944,-60.9341,9.32,1979,2110,21.09,14,4063,4063,1,1979,2110,11.179,,10.20,-18.43,-1.04
4099,PGC004099,17.2498,-5.5176,134.6620,-67.9885,9.04,2212,2311,0.00,0,4099,3768,1,2212,2311,11.025,,11.53,-28.45,-2.60
4126,NGC0404,17.3623,35.7180,127.0347,-27.0102,9.09,-48,195,2.99,6,4126,4126,1,-48,195,11.049,,2.62,-1.40,0.33
4143,PGC004143,17.4230,-2.2667,133.6758,-64.7570,8.75,1872,1985,29.65,25,4143,4524,1,1872,1985,10.878,,12.62,-26.75,-2.14
4173,ESO352-015,17.5807,-35.7363,279.0548,-80.4994,9.81,3512,3468,58.08,18,4173,4173,1,3512,3468,11.496,,-7.53,-56.28,-12.21
4211,ESO243-050,17.7042,-42.3754,289.6442,-74.2491,9.01,1484,1408,0.00,0,4211,4211,1,1484,1408,11.013,,-4.51,-17.70,-4.35
4266,NGC0423,17.8426,-29.2345,239.7136,-85.1293,9.76,1643,1629,0.00,0,4266,4266,1,1643,1629,11.458,,-0.40,-21.31,-4.17
4274,NGC0424,17.8653,-38.0835,283.1935,-78.2664,10.97,3527,3471,51.05,14,4274,4274,2,3508,3452,12.792,11.152,-8.59,-49.04,-11.30
4367,NGC0428,18.2318,0.9817,134.2162,-61.4184,9.82,1158,1282,11.32,18,4367,4367,4,1136,1260,11.520,10.592,5.42,-9.94,-0.80
4406,NGC0438,18.3916,-37.9016,280.9659,-78.2662,10.59,3490,3434,0.00,0,4274,4274,2,3508,3452,12.792,11.152,-8.36,-48.98,-11.62
4416,UGC00772,18.4143,0.8746,134.6318,-61.4914,8.31,1164,1288,0.00,0,4367,4367,4,1136,1260,11.520,10.592,5.41,-9.95,-0.84
4455,IC0088,18.5851,0.9170,134.9669,-61.4185,7.95,1129,1252,0.00,0,4367,4367,4,1136,1260,11.520,10.592,5.40,-9.90,-0.87
4461,PGC004461,18.5918,-55.4001,296.1222,-61.4238,10.54,3612,3478,0.00,0,4468,4468,2,3624,3489,12.576,8.896,-20.74,-39.70,-12.51
4468,NGC0454,18.6038,-55.3971,296.1070,-61.4255,10.71,3635,3500,0.00,0,4468,4468,2,3624,3489,12.576,8.896,-20.75,-39.73,-12.52
4524,NGC0448,18.8189,-1.6263,136.5597,-63.8655,10.47,2053,2165,29.92,11,4524,4524,2,2049,2162,12.068,9.281,13.18,-26.72,-2.77
4535,UGC00803,18.8455,8.0992,133.1225,-54.2981,8.92,2349,2500,0.00,0,4535,4946,1,2349,2500,10.966,,19.40,-27.06,-1.55
4540,NGC0450,18.8768,-0.8609,136.3298,-63.1049,9.66,1756,1871,17.46,14,4540,4540,4,1694,1808,11.483,8.009,7.90,-15.49,-1.57
4601,"Andromeda II",19.1225,33.4214,128.9169,-29.1590,6.62,-194,40,0.65,3,2557,2557,38,-273,-14,12.441,12.447,0.56,-0.32,0.05
4612,PGC004612,19.1823,16.4000,131.6866,-46.0414,9.64,1983,2165,0.00,0,4612,4612,1,1983,2165,11.378,,19.94,-20.87,-0.32
4647,PGC004647,19.3772,-9.2968,143.2024,-71.1353,8.56,1938,2014,0.00,0,4647,4647,1,1938,2014,10.786,,8.64,-25.16,-3.67
4661,ESO352-036,19.4670,-36.3131,273.1567,-79.2391,9.95,2192,2140,0.00,0,4661,4661,1,2192,2140,11.599,,-3.82,-27.45,-6.78
4765,PGC004765,19.9095,3.2614,136.6381,-58.8579,9.08,2225,2354,0.00,0,4946,4946,13,2251,2382,13.471,12.674,16.98,-27.96,-2.88
4777,NGC0470,19.9368,3.4099,136.6290,-58.7070,10.71,2374,2504,39.99,14,4946,4946,13,2251,2382,13.471,12.674,20.77,-34.00,-3.49
4785,NGC0473,19.9794,16.5446,132.7417,-45.7839,10.44,2134,2314,0.00,0,4785,4785,2,2149,2330,12.033,10.522,21.58,-22.31,-0.71
4801,NGC0474,20.0279,3.4153,136.7975,-58.6824,10.79,2325,2454,29.51,13,4946,4946,13,2251,2382,13.471,12.674,15.34,-25.08,-2.62
4805,UGC00866,20.0284,-0.2055,138.4573,-62.2097,8.41,1788,1902,23.77,14,4805,4805,1,1788,1902,10.709,,11.08,-20.88,-2.52
4826,PGC004826,20.0919,1.8885,137.5789,-60.1580,8.59,2167,2290,0.00,0,4826,4946,1,2167,2290,10.800,,15.19,-26.32,-2.97
4827,UGC00871,20.1004,5.8275,135.9961,-56.3078,8.90,2166,2305,0.00,0,4946,4946,13,2251,2382,13.471,12.674,18.17,-27.16,-2.57
4835,PGC004835,20.1334,7.3424,135.5201,-54.8166,9.85,3083,3228,0.00,0,4835,4835,1,3083,3228,11.525,,24.78,-35.05,-3.08
4862,UGC00882,20.2309,6.5748,135.9533,-55.5497,9.21,2327,2469,26.92,25,4921,4946,2,2287,2430,11.634,11.588,17.17,-24.93,-2.33
4872,UGC00883,20.2538,17.0734,132.9906,-45.2199,8.97,2498,2680,0.00,0,4948,4948,2,2508,2690,12.272,10.674,31.21,-31.62,-1.10
4885,UGC00888,20.2749,5.4283,136.4523,-56.6628,8.52,2434,2571,0.00,0,4946,4946,13,2251,2382,13.471,12.674,18.20,-27.55,-2.76
4913,UGC00891,20.3295,12.4117,134.2769,-49.8007,8.51,643,808,14.00,25,4913,4913,1,643,808,10.760,,9.02,-10.68,-0.69
4918,UGC00896,20.3638,9.1799,135.2937,-52.9698,8.67,2042,2194,0.00,0,5222,4946,15,2407,2558,13.497,13.130,18.48,-24.44,-2.03
4921,NGC0485,20.3651,7.0183,136.0246,-55.0884,9.92,2247,2390,31.77,14,4921,4946,2,2287,2430,11.634,11.588,18.18,-25.94,-2.44
4934,ESO352-055,20.3876,-33.1560,257.5693,-81.1330,10.51,3518,3479,0.00,0,4934,4934,1,3518,3479,12.100,,-3.60,-44.87,-11.19
4946,NGC0488,20.4452,5.2568,136.8205,-56.7945,11.47,2272,2408,0.00,0,4946,4946,13,2251,2382,13.471,12.674,18.02,-27.39,-2.86
4948,UGC00903,20.4492,17.5924,133.1302,-44.6773,10.66,2518,2701,44.46,14,4948,4948,2,2508,2690,12.272,10.674,31.53,-31.33,-1.12
4957,NGC0489,20.4747,9.2065,135.4632,-52.9225,10.54,2507,2659,42.46,14,5222,4946,15,2407,2558,13.497,13.130,25.58,-33.77,-2.88
4973,NGC0490,20.5119,5.3672,136.8956,-56.6724,9.62,2225,2361,0.00,0,4946,4946,13,2251,2382,13.471,12.674,18.05,-27.30,-2.87
4979,NGC0493,20.5378,0.9458,138.9116,-60.9695,10.24,2363,2481,22.28,14,4979,4979,8,2350,2468,11.895,11.671,10.81,-19.33,-2.43
4994,PGC004994,20.6327,9.2815,135.6919,-52.8182,9.20,2645,2796,0.00,0,5222,4946,15,2407,2558,13.497,13.130,19.03,-25.01,-2.21
5004,ESO113-044,20.6448,-57.5692,294.8079,-59.0651,8.72,3571,3424,0.00,0,5004,5004,1,3571,3424,10.865,,-21.68,-37.93,-13.26
5023,PGC005023,20.7263,8.8552,135.9851,-53.2172,9.39,2219,2369,0.00,0,5222,4946,15,2407,2558,13.497,13.130,18.52,-24.68,-2.28
5034,NGC0502,20.7313,9.0492,135.9278,-53.0262,10.27,2489,2639,0.00,0,5222,4946,15,2407,2558,13.497,13.130,18.82,-24.91,-2.28
5067,UGC00931,20.8105,-0.7011,140.3578,-62.4919,9.43,2003,2113,33.88,18,5067,5067,1,2003,2113,11.246,,15.62,-29.78,-4.12
5072,PGC005072,20.8306,7.7952,136.5272,-54.2328,9.32,2698,2843,19.68,18,5198,5198,2,2716,2860,11.535,10.660,15.32,-21.17,-2.12
5080,NGC0509,20.8504,9.4335,135.9890,-52.6261,9.99,2274,2425,0.00,0,5222,4946,15,2407,2558,13.497,13.130,18.82,-24.55,-2.26
5094,UGC00941,20.8849,6.9606,136.9267,-55.0365,9.40,2727,2868,0.00,0,5094,5094,1,2727,2868,11.225,,21.91,-31.17,-3.28
5101,UGC00942,20.9319,6.6914,137.1093,-55.2891,8.99,2337,2477,0.00,0,5101,4946,1,2337,2477,11.000,,18.80,-27.00,-2.90
5124,ESO352-067,20.9892,-33.8021,258.5386,-80.3299,8.51,1482,1438,0.00,0,5124,5124,1,1482,1438,10.762,,-1.67,-18.48,-4.82
5139,NGC0514,21.0163,12.9173,135.1454,-49.1791,10.55,2472,2636,25.35,14,5139,5139,1,2472,2636,12.140,,16.56,-19.14,-1.47
5147,IC0101,21.0356,9.9306,136.1146,-52.1021,9.64,2401,2554,35.81,14,5222,4946,15,2407,2558,13.497,13.130,21.99,-28.14,-2.63
5148,NGC0516,21.0336,9.5517,136.2397,-52.4731,10.14,2451,2602,0.00,0,5222,4946,15,2407,2558,13.497,13.130,19.03,-24.67,-2.35
5161,NGC0518,21.0734,9.3308,136.3786,-52.6810,10.42,2725,2875,0.00,0,5222,4946,15,2407,2558,13.497,13.130,19.16,-25.03,-2.44
5193,NGC0520,21.1444,3.7942,138.7020,-58.0592,10.90,2281,2409,0.00,0,4946,4946,13,2251,2382,13.471,12.674,17.41,-27.72,-3.48
5194,UGC00958,21.1426,16.5369,134.3164,-45.6011,8.81,2415,2592,32.96,14,5194,169787,1,2415,2592,10.908,,23.03,-23.54,-1.37
5198,UGC00964,21.1461,7.7212,137.0769,-54.2377,9.72,2734,2878,51.76,14,5198,5198,2,2716,2860,11.535,10.660,30.25,-41.77,-4.47
5208,UGC00957,21.1017,3.8822,138.5837,-57.9842,8.10,2152,2280,0.00,0,4946,4946,13,2251,2382,13.471,12.674,17.35,-27.56,-3.42
5218,NGC0522,21.1910,9.9942,136.3365,-52.0081,10.63,2725,2878,35.65,14,5222,4946,15,2407,2558,13.497,13.130,21.94,-27.97,-2.70
5222,NGC0524,21.1988,9.5388,136.5055,-52.4516,11.49,2379,2530,23.99,13,5222,4946,15,2407,2558,13.497,13.130,14.62,-18.93,-1.87
5232,NGC0525,21.2203,9.7032,136.4827,-52.2864,9.78,1624,1775,0.00,0,5232,5232,1,1624,1775,11.474,,14.47,-18.63,-1.84
5242,PGC005242,21.2859,3.6144,139.0446,-58.1990,8.91,2240,2367,0.00,0,4946,4946,13,2251,2382,13.471,12.674,17.31,-27.70,-3.58
5264,NGC0532,21.3222,9.2641,136.7979,-52.6939,10.81,2361,2510,32.21,14,5222,4946,15,2407,2558,13.497,13.130,19.52,-25.49,-2.63
5273,UGC00989,21.3733,7.5614,137.5139,-54.3433,9.10,2788,2931,40.55,18,5273,5281,1,2788,2931,11.061,,23.63,-32.74,-3.69
5276,UGC00990,21.3501,10.7970,136.3120,-51.1903,8.99,2536,2691,0.00,0,5276,5276,1,2536,2691,11.004,,22.48,-27.84,-2.67
5281,PGC005281,21.3924,7.9900,137.3807,-53.9215,9.96,2923,3067,0.00,0,5281,5281,3,2954,3098,11.744,8.628,24.30,-33.15,-3.68
5329,PGC005329,21.4914,-3.9818,144.0363,-65.4290,9.19,2003,2096,24.77,25,5329,5663,1,2003,2096,11.107,,10.23,-22.26,-3.67
5330,UGC01011,21.5204,0.3155,141.2185,-61.3202,8.51,1923,2035,0.00,0,5330,5384,1,1923,2035,10.759,,12.99,-23.56,-3.49
5341,PGC005341,21.5605,-6.0941,145.9709,-67.3957,9.95,1999,2083,23.55,14,5341,5663,1,1999,2083,11.600,,8.95,-21.46,-3.74
5343,IC0114,21.5940,9.9099,136.9959,-52.0052,9.84,2275,2426,0.00,0,5222,4946,15,2407,2558,13.497,13.130,19.09,-24.31,-2.57
5345,UGC01014,21.5982,6.2780,138.4115,-55.5397,9.23,2132,2268,0.00,0,5345,4946,1,2132,2268,11.130,,17.11,-24.75,-3.05
5354,PGC005354,21.5805,60.7684,127.1804,-1.8152,9.85,906,1174,0.00,0,5354,5354,1,906,1174,11.524,,15.40,-0.80,2.70
5363,PGC005363,21.6389,39.8810,130.2149,-22.4936,9.93,2610,2852,0.00,0,5363,5363,1,2610,2852,11.581,,34.86,-14.95,2.75
5370,UGC01019,21.6617,10.2874,136.9669,-51.6224,8.91,2182,2334,0.00,0,5222,4946,15,2407,2558,13.497,13.130,19.18,-24.09,-2.53
5375,ESO476-010,21.6762,-25.3149,201.9959,-81.8875,8.86,1605,1599,20.89,14,5375,5375,1,1605,1599,10.936,,1.26,-20.26,-4.92
5382,UGC01020,21.6833,17.2645,134.8436,-44.7894,9.81,2589,2767,48.53,25,5382,5643,1,2589,2767,11.497,,34.41,-34.15,-2.25
5384,PGC005384,21.6941,-0.6460,142.1515,-62.1919,8.45,1913,2021,0.00,0,5384,5384,2,1927,2035,10.769,10.435,12.60,-23.72,-3.69
5441,PGC005441,21.8979,-6.3267,147.0044,-67.4930,9.16,1568,1650,0.00,0,5441,5663,1,1568,1650,11.090,,8.30,-20.05,-3.64
5460,UGC01038,21.9471,43.2519,129.9256,-19.1257,8.16,1228,1476,0.00,0,5460,5460,1,1228,1476,10.583,,18.44,-6.68,1.68
5472,ESO413-007,21.9969,-29.0866,228.7170,-81.7082,8.81,1512,1488,0.00,0,5472,5849,1,1512,1488,10.913,,-0.07,-19.20,-5.00
5479,UGC01050,22.0538,10.4327,137.5187,-51.3945,9.03,2395,2547,0.00,0,5479,4946,1,2395,2547,11.021,,21.19,-26.37,-2.98
5497,PGC005497,22.1050,-52.6359,290.2763,-63.5741,9.58,3450,3321,0.00,0,5497,5497,1,3450,3321,11.342,,-17.55,-38.42,-13.29
5516,PGC005516,22.1967,16.6880,135.6866,-45.2567,8.53,595,770,0.00,0,5516,6318,1,595,770,10.772,,7.22,-7.27,-0.59
5518,UGC01054,22.2029,34.3457,131.6553,-27.8922,8.78,2661,2890,72.11,25,5518,5518,1,2661,2890,10.897,,63.41,-34.23,2.59
5535,NGC0576,22.2405,-51.5987,289.3163,-64.5260,10.27,3603,3478,0.00,0,5535,5535,1,3603,3478,11.867,,-17.60,-40.58,-13.93
5581,IC0127,22.4484,-6.9799,148.9905,-67.8898,10.23,1925,2002,0.00,0,5663,5663,12,1869,1943,13.307,12.442,8.68,-21.50,-4.18
5589,UGC01070,22.4992,40.9738,130.7316,-21.3132,9.68,2806,3048,20.99,18,5638,5638,2,2797,3040,11.818,9.977,19.43,-7.84,1.41
5596,UGC01075,22.5102,2.8525,141.6814,-58.6069,8.69,2100,2220,0.00,0,135639,4946,2,2107,2226,11.037,9.398,15.41,-25.05,-3.94
5619,NGC0578,22.6190,-22.6672,188.3085,-80.0921,10.37,1628,1632,18.79,14,5619,5849,2,1587,1592,11.967,10.802,2.04,-18.12,-4.53
5634,NGC0575,22.6944,21.4404,135.0020,-40.5075,10.22,3128,3318,0.00,0,5634,5634,1,3128,3318,11.823,,33.61,-28.72,-1.78
5638,NGC0573,22.7056,41.2573,130.8471,-21.0083,10.07,2788,3031,0.00,0,5638,5638,2,2797,3040,11.818,9.977,19.46,-7.72,1.38
5643,IC1711,22.7303,17.1885,136.2435,-44.6603,10.69,2801,2976,46.99,14,5643,5643,1,2801,2976,12.297,,33.41,-32.90,-2.98
5661,UGC01085,22.8288,7.7877,139.8037,-53.7726,7.57,652,791,0.00,0,5661,6318,1,652,791,10.292,,6.23,-8.43,-1.20
5663,NGC0584,22.8363,-6.8681,149.8050,-67.6334,11.17,1872,1949,20.04,13,5663,5663,12,1869,1943,13.307,12.442,7.45,-18.24,-3.67
5679,NGC0586,22.9036,-6.8937,149.9930,-67.6297,10.06,1875,1951,0.00,0,5663,5663,12,1869,1943,13.307,12.442,8.72,-21.38,-4.33
5680,UGC01091,22.8996,8.4226,139.6406,-53.1413,8.22,2495,2636,0.00,0,5680,4946,1,2495,2636,10.617,,21.06,-27.86,-3.93
5744,PGC005744,23.1232,4.6019,141.8353,-56.7555,9.68,1960,2085,0.00,0,5744,5744,3,1969,2094,11.467,9.917,15.25,-23.07,-3.75
5759,UGC01105,23.1663,4.6413,141.8895,-56.7054,8.50,1993,2118,0.00,0,5744,5744,3,1969,2094,11.467,9.917,15.29,-23.09,-3.77
5761,UGC01104,23.1773,18.3171,136.4808,-43.4662,8.72,688,866,0.00,0,5761,6318,1,688,866,10.863,,8.38,-7.91,-0.75
5764,ESO013-016,23.1990,-79.4737,300.5644,-37.4637,9.69,1762,1540,24.55,18,5764,5764,1,1762,1540,11.408,,-18.65,-14.22,-7.24
5766,NGC0596,23.2166,-7.0317,150.8859,-67.6266,10.91,1872,1947,21.68,13,5663,5663,12,1869,1943,13.307,12.442,8.02,-19.71,-4.12
5777,NGC0600,23.2721,-7.3115,151.3303,-67.8568,9.68,1824,1897,0.00,0,5663,5663,12,1869,1943,13.307,12.442,8.56,-21.33,-4.50
5792,UGC01110,23.3237,13.3322,138.3332,-48.2838,9.00,2768,2927,35.16,14,5792,5792,1,2768,2927,11.009,,23.39,-26.04,-3.28
5794,UGC01112,23.3275,3.0707,143.0448,-58.1566,9.50,1689,1807,24.10,14,5794,5794,1,1689,1807,11.288,,12.65,-20.21,-3.50
5818,Triangulum,23.4621,30.6599,133.6103,-31.3309,9.34,-179,37,0.81,3,2557,2557,38,-273,-14,12.441,12.447,0.69,-0.42,0.00
5849,NGC0613,23.5758,-29.4184,229.0771,-80.2924,10.99,1481,1451,0.00,0,5849,5849,2,1442,1411,12.643,11.575,-0.10,-18.13,-5.21
5892,UGC01133,23.7618,4.3812,143.0641,-56.7762,9.45,1967,2089,0.00,0,5892,5744,1,1967,2089,11.258,,15.18,-22.99,-4.07
5896,NGC0625,23.7712,-41.4368,273.6742,-73.1201,8.81,396,311,3.52,8,5896,2789,1,396,311,10.913,,-0.74,-3.27,-1.07
5897,NGC0615,23.7736,-7.3404,152.5473,-67.6663,10.69,1823,1895,28.71,14,5663,5663,12,1869,1943,13.307,12.442,10.53,-26.08,-5.76
5907,UGC01137,23.8032,5.5061,142.5205,-55.6919,8.49,3083,3210,0.00,0,5907,5907,1,3083,3210,10.748,,24.02,-34.90,-6.04
5957,PGC005957,24.0981,3.7555,144.0101,-57.2650,8.75,1812,1931,0.00,0,5957,5957,1,1812,1931,10.880,,13.83,-21.35,-3.98
5974,NGC0628,24.1740,15.7833,138.6171,-45.7055,10.55,657,823,9.77,10,5974,6318,3,675,840,12.146,11.474,6.82,-6.93,-0.92
5981,ESO052-008,24.1988,-67.9573,296.5250,-48.6027,8.71,1428,1238,0.00,0,5981,7505,1,1428,1238,10.859,,-10.20,-11.88,-5.22
5990,NGC0620,24.2487,42.3234,131.8565,-19.7575,9.94,2507,2748,0.00,0,5990,5990,1,2507,2748,11.589,,34.32,-12.68,1.93
5998,UGC01155,24.2805,4.8851,143.6687,-56.1363,9.94,3184,3307,0.00,0,5998,5998,1,3184,3307,11.592,,24.42,-36.10,-6.71
6007,NGC0632,24.3229,5.8776,143.1891,-55.1804,10.53,3168,3295,36.64,8,6007,6007,1,3168,3295,12.117,,20.81,-29.67,-5.42
6015,PGC006015,24.3785,-8.8854,155.9179,-68.7532,9.30,1807,1870,0.00,0,6015,5663,1,1807,1870,11.167,,8.56,-22.78,-5.41
6039,ESO297-015,24.4685,-40.5388,270.3197,-73.5156,9.12,1414,1332,0.00,0,6039,6039,1,1414,1332,11.068,,-3.43,-16.52,-5.54
6048,PGC006048,24.4996,-7.5666,154.4994,-67.5387,8.69,1946,2015,0.00,0,5663,5663,12,1869,1943,13.307,12.442,8.61,-21.36,-5.04
6110,NGC0636,24.7773,-7.5126,155.0645,-67.3607,10.73,2043,2111,29.38,13,5663,5663,12,1869,1943,13.307,12.442,10.77,-26.57,-6.40
6145,NGC0638,24.9079,7.2373,143.4096,-53.7073,10.18,3176,3307,0.00,0,6145,6145,1,3176,3307,11.782,,25.95,-35.02,-6.64
6147,UGC01172,24.9104,5.7828,144.2112,-55.0850,9.78,3258,3383,0.00,0,6172,6172,2,3285,3409,12.124,10.756,19.50,-27.72,-5.42
6150,UGC01171,24.9363,15.8994,139.5862,-45.4044,8.17,738,902,0.00,0,5974,6318,3,675,840,12.146,11.474,6.91,-6.94,-1.04
6159,UGC01175,24.9858,11.0967,141.6391,-50.0049,7.68,728,874,0.00,0,6159,6318,1,728,874,10.348,,7.47,-8.81,-1.54
6172,NGC0645,25.0363,5.7267,144.4503,-55.0971,10.45,3311,3435,34.36,18,6172,6172,2,3285,3409,12.124,10.756,19.53,-27.77,-5.52
6174,UGC01176,25.0430,15.9050,139.7249,-45.3717,8.73,631,795,0.00,0,5974,6318,3,675,840,12.146,11.474,6.81,-6.84,-1.04
6190,PGC006190,25.1158,-5.5205,153.4888,-65.4413,8.80,2131,2206,29.92,14,6190,6190,1,2131,2206,10.906,,11.94,-26.67,-6.43
6213,ESO297-020,25.1991,-41.2131,270.3220,-72.6439,8.77,1478,1391,0.00,0,6213,6039,1,1478,1391,10.889,,-3.77,-17.15,-5.97
